AAAAA,4325235,23/04/2004,Rua zinha,4436,Cidade zinha,Estado zinho
Amanda Eloá Nair Oliveira,689.228.058-70,07/05/1997,Rua Maria do Socorro,598,Olinda,PE
Ana Cecília Moraes,757.734.263-74,20/01/1951,Quadra J-10,846,Belém,PA
Ana Raquel Josefa Ramos,034.064.083-97,08/08/1943,Rua Leonardo da Vinci,905,Goiânia,GO
Andreia Nicole Carolina Nogueira,506.944.119-14,17/08/1999,Vila Santa Lúcia,906,Belém,PA
André Arthur Caldeira,152.726.332-02,18/02/1973,Rua Assis Valente,467,Várzea Grande,MT
Antonella Andrea Priscila Fernandes,509.429.055-04,08/01/1978,Rua Estácio de Sá,964,Recife,PE
Antonella Eliane Santos,447.417.507-79,17/01/1972,Beco dos Inocentes,199,Manaus,AM
Antonella Malu Emanuelly Mendes,204.091.795-07,11/06/1950,2ª Rua da Paz,532,Maceió,AL
Ayla Malu Laís da Conceição,254.795.150-98,19/06/1983,Área SRES Área Especial Bloco C,712,Brasília,DF
Beatriz Isabela Andrea Moreira,460.169.999-11,26/01/1961,Avenida Florianópolis,230,Serra,ES
Benedita Juliana Almada,806.615.009-18,12/07/1949,Rua Cabo do Arraial,317,Volta Redonda,RJ
Bento Luiz Freitas,965.302.179-67,01/01/1962,Travessa Claudionor Leite,658,Aracaju,SE
Benício Rodrigo Manuel Baptista,068.752.015-00,25/03/1969,Rua Lino Rodrigues,386,Arapiraca,AL
Brenda Flávia Tânia Silva,948.951.936-75,06/08/1951,Rua Prudente de Morais,146,Teresina,PI
Breno Paulo Manuel Souza,819.758.540-71,03/05/1998,Rua Botafogo,376,Rio Branco,AC
Breno Theo Teixeira,951.886.065-34,13/03/1970,Travessa Zeus,892,Rio Branco,AC
Bruna Emilly Bernardes,326.136.530-78,09/08/1990,Rua Cajá Mirim,919,Manaus,AM
Bruna Isadora Novaes,881.906.299-21,07/02/2002,Rua Josefa Lopes de Araújo,553,Teresina,PI
Bruno Felipe Alves,894.907.653-50,06/08/1959,Rua Inhambu,996,Londrina,PR
Caleb Filipe Noah Souza,830.692.913-68,25/01/1971,Vila Aides,221,Fortaleza,CE
Calebe Pedro Kaique Cardoso,972.603.511-28,13/01/1991,Alameda Riguel,962,Barueri,SP
Carla Stella Stella Novaes,928.157.092-01,24/01/2001,Quadra SQN 210,742,Brasília,DF
Caroline Fernanda da Luz,583.152.110-99,20/05/1954,Rua Gerson Farias dos Santos,752,Aracaju,SE
Catarina Helena Adriana Galvão,686.741.398-68,06/05/1974,Avenida Projetada,452,São Luís,MA
Cecília Sandra Rita da Cunha,784.283.499-75,18/06/1980,Travessa da Afelétro,213,Rio Branco,AC
Cláudia Milena Carolina Corte Real,164.500.753-76,04/05/1951,Quadra QN 315 Conjunto B,711,Brasília,DF
Cláudia Milena Moura,785.017.578-61,24/05/1954,Alameda Payssandú,856,Ananindeua,PA
Débora Jéssica Sara Silveira,991.902.368-07,25/04/1970,Rua Peixe Boi,492,Boa Vista,RR
Eduarda Isabel Giovanna Farias,304.632.572-00,13/06/1954,Rua da Pedra,243,Arcoverde,PE
Eduardo Luiz Carlos da Mota,403.755.010-53,24/05/1948,Trecho SCEN Trecho 3 Lotes 5B e 6B,209,Brasília,DF
Elaine Ayla Stella da Costa,933.502.689-19,21/06/1998,Rua Doutor Jozone Pedroso de Camargo,684,Dourados,MS
Elza Natália Ester Lopes,875.929.448-55,05/07/1957,Avenida Dom Pedro II,233,Santana do Livramento,RS
Emanuel Francisco Araújo,608.982.268-05,02/02/2004,Rua Ipê,359,Ji-Paraná,RO
Emily Elza Elisa Barros,766.479.188-09,27/03/2003,Rua Tamandaré,495,Maracanaú,CE
Emily Francisca Jesus,544.772.817-73,12/03/1979,Rua Palmital,710,Feira de Santana,BA
Emily Francisca Maitê Rodrigues,300.217.914-06,01/08/2003,Rua João Pereira da Silva,472,Guarapari,ES
Felipe Gabriel Lopes,214.105.778-72,08/02/1989,Rua Margarida Barbosa Chaves,633,João Pessoa,PB
Gabriel Ryan Cardoso,583.815.414-41,16/05/1994,Rodovia Coronel Estevão Torquato da Silva,836,Cuiabá,MT
Geraldo Diogo Monteiro,692.603.605-52,20/01/1953,Rua Otávio Antônio Darros,685,Novo Hamburgo,RS
Guilherme Sebastião Raimundo da Costa,263.266.382-24,08/02/1972,Rua Manuel Torres,771,Rio de Janeiro,RJ
Heloisa Bárbara Lívia Moraes,646.999.390-74,25/01/1974,Quadra QI 616 Conjunto H-I,128,Brasília,DF
Heloise Sarah Barbosa,719.929.853-67,12/05/1966,Travessa Santa Lúcia,792,Rio Branco,AC
Henrique Nelson Gomes,417.227.932-52,18/04/1987,Rua Manoel Francisco da Silva,853,Caruaru,PE
Ian Oliver Giovanni Fernandes,925.766.683-21,08/06/1965,Rua 1º de Abril,147,Manaus,AM
Ian Vicente Julio Sales,924.960.305-33,06/04/1984,Rua José do Monte,287,Belo Horizonte,MG
Isabella Rebeca Almada,561.157.074-71,19/04/1955,Rua Pedro Aldemar Bantim,101,Boa Vista,RR
Isabelly Beatriz Sara Pinto,184.766.225-03,05/07/1955,Rua Guanabara,990,Porto Velho,RO
Jaqueline Giovanna Márcia Santos,768.734.033-77,02/04/1993,Quadra Nove,329,Belém,PA
Jaqueline Lara dos Santos,193.978.242-28,27/02/1984,Rua Rio Desterro,651,Jaboatão dos Guararapes,PE
Jennifer Liz Liz Aparício,216.487.500-10,23/06/1998,Rua Dom Severino Vieira de Melo,916,Caruaru,PE
Josefa Isis Heloisa Araújo,177.750.202-02,17/08/1944,Travessa Arnoldo Raiter,405,Passo Fundo,RS
José Benjamin Isaac Castro,106.827.257-06,12/04/1949,Rua São Paulo,391,Ananindeua,PA
José Luiz Carvalho,415.473.513-65,09/03/1949,Rua Homero Cruz,853,Boa Vista,RR
Julio Isaac Almeida,543.915.194-02,25/02/1948,Rua Dianápolis,790,Maceió,AL
Julio Luís da Rosa,442.287.278-83,26/02/1960,Rua Soilo de Freitas,713,Ponta Porã,MS
Julio Manoel Diogo Oliveira,854.640.160-82,02/07/1949,Quadra SHIGS 706 Bloco H,646,Brasília,DF
Julio Ruan Elias Campos,154.641.180-12,13/04/1972,Avenida das Bandeiras,172,Contagem,MG
